AERMET VERSION 26135
LOCATION 99999     41.300N     74.000W  0 
FILE TYPE: QAOUT
THRESHOLD  0.300
OVERLAND
DATES 1988 03 01 1988 03 05
RANGE MHGT     0 <     4000   -999
RANGE SANN     0 <=      95    -99
RANGE SWNN     0 <        3    -99
RANGE TTNN   -30 <       40    -99
RANGE WDNN     0 <=     360   -999
RANGE WSNN     0 <       50   -999
HTNN FIRST-LAST LEVELS   1   3
SANN FIRST-LAST LEVELS   1   3
SWNN FIRST-LAST LEVELS   1   3
TTNN FIRST-LAST LEVELS   1   3
WDNN FIRST-LAST LEVELS   1   3
WSNN FIRST-LAST LEVELS   1   3
DATE       HR     LEV         HTNN         MHGT         TSKC         SANN         SWNN         TTNN         WDNN         WSNN
19880301   01       1     10.00000    211.20000      3.00000     36.20000      0.07100      1.50000    259.23000      2.04000
19880301   01       2     50.00000   -999.00000     99.00000     42.60000      0.08400      2.30000    265.23000      2.81000
19880301   01       3    100.00000   -999.00000     99.00000     49.00000      0.09700      3.10000    271.23000      3.23000
19880301   02       1     10.00000    157.40000      0.00000     38.30000      0.01700      2.58000    260.50000      1.96000
19880301   02       2     50.00000   -999.00000     99.00000     45.00000      0.02000      3.38000    266.50000      2.71000
19880301   02       3    100.00000   -999.00000     99.00000     51.80000      0.02300      4.18000    272.50000      3.11000
19880301   03       1     10.00000    254.90000      6.00000     37.10000      0.08200      3.48000    264.19000      1.68000
19880301   03       2     50.00000   -999.00000     99.00000     43.70000      0.09700      4.28000    270.19000      2.32000
19880301   03       3    100.00000   -999.00000     99.00000     50.20000      0.11100      5.08000    276.19000      2.67000
19880301   04       1     10.00000    235.10000      4.00000     40.60000      0.03700      4.10000    259.49000      2.13000
19880301   04       2     50.00000   -999.00000     99.00000     47.70000      0.04400      4.90000    265.49000      2.94000
19880301   04       3    100.00000   -999.00000     99.00000     54.90000      0.05000      5.70000    271.49000      3.38000
19880301   05       1     10.00000    300.90000      4.00000     39.40000      0.05400      5.36000    269.91000      1.60000
19880301   05       2     50.00000   -999.00000     99.00000     46.40000      0.06400      6.16000    275.91000      2.21000
19880301   05       3    100.00000   -999.00000     99.00000     53.30000      0.07300      6.96000    281.91000      2.53000
19880301   06       1     10.00000    223.30000      6.00000     40.20000      0.03900      7.12000    267.06000      2.30000
19880301   06       2     50.00000   -999.00000     99.00000     47.30000      0.04600      7.92000    273.06000      3.18000
19880301   06       3    100.00000   -999.00000     99.00000     54.40000      0.05300      8.72000    279.06000      3.65000
19880301   07       1     10.00000    577.80000      2.00000     33.40000      0.19800      7.57000    272.76000      1.99000
19880301   07       2     50.00000   -999.00000     99.00000     39.30000      0.23300      7.27000    278.76000      2.74000
19880301   07       3    100.00000   -999.00000     99.00000     45.20000      0.26800      6.97000    284.76000      3.15000
19880301   08       1     10.00000    705.20000      4.00000     26.10000      0.29600      9.51000    262.68000      2.43000
